,uri,title,artist,cluster
0,spotify:track:4Btb3JGY70NvUW9pGGUPz8,Tired Of Being Sorry (feat. Enrique Iglesias),Nâdiya& Enrique Iglesias,2
1,spotify:track:4xBHZ2Mr0gCdFYXrPZuYXO,Lonely Day,System Of A Down,3
2,spotify:track:0snQkGI5qnAmohLE7jTsTn,Toxicity,System Of A Down,4
3,spotify:track:4r1AS456lSXXXv6aVpDT4e,Sun in an Empty Room,The Weakerthans,4
4,spotify:track:563RrhWUWOYNGW5vhxHSH7,Harmless,Gregory and the Hawk,3
5,spotify:track:4ca03o6ZZsFA0LB620kpKI,Chasing Birds - Preservation Hall Jazz Band Re-Version,Foo Fighters,3
6,spotify:track:21Phj46KeUHOWyZW9A9b7P,Alberto Balsalm,Aphex Twin,4
7,spotify:track:1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",Destiny's Child,3
8,spotify:track:6ZJqCviTotiIujl1rfcL53,Passion,PinkPantheress,0
9,spotify:track:1bFPKxP56XWDXJOwo3Kvfp,Needle In The Hay,Elliott Smith,0
10,spotify:track:4zYTZvtcww7OWKie7fxA9E,Hit 'Em Up Style (Oops!),Blu Cantrell,2
11,spotify:track:1GIPP103zfsythULEpsmdw,The Great Escape,Patrick Watson,3
12,spotify:track:25nzKGDiua1lE9Qo5V19GL,Young Blood,The Naked And Famous,7
13,spotify:track:4ZAzfI4PGM6CI174V4FzdO,Opening,Nate Wonder& Roman GianArthur,3
14,spotify:track:6fcJCdlx1AOBFCD1lIJcrf,Just (After Song of Songs),David Lang& Trio Mediæval& Agnès Vesterman& Garth Knox& Sylvain Lemêtre,2
15,spotify:track:4CQHuLMWDZaoCNyNmnJHVf,The Hidden River of My Life,Sufjan Stevens,3
16,spotify:track:1zb2Jn4lYn15sVBpNkxNZy,The Old Man,Yom,3
17,spotify:track:4spUOLlrBfFT9DBL6Yojbg,Aline,Jarvis Cocker,7
18,spotify:track:0klWdioTGhUqTEKgcd6Ltf,Fistful Of Love,Antony and the Johnsons,3
19,spotify:track:3ZFurUI2qESabUHHyIlxa8,Lady Grinning Soul - 2013 Remaster,David Bowie,2
20,spotify:track:4XTGDKcerI21v4k1Au2H1L,Going To A Town,Rufus Wainwright,3
21,spotify:track:5KrTIoePTb1n18C5kndpKX,See You All,Koudlam,1
22,spotify:track:5kG795VUPFioSBKnZuf7Uu,Reason or Rhyme,The Bryan Ferry Orchestra,3
23,spotify:track:26NHHiiY8NiAx0jcU0WwF7,La Ba'den,Yasmine Hamdan,4
24,spotify:track:5xYNLzZzgN3r6YPcQgNcJD,Qu'ils ont de la chance,Disiz,7
25,spotify:track:7F83IxwksIdCgxk30MUPXM,I Never Really,Anna Leone,7
26,spotify:track:3vXnuFnC5RhPGwsFi0ORcI,Santé,Stromae,6
27,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,5
28,spotify:track:0d2O5TNHO2T5XR95TVmgfp,Default,Django Django,2
29,spotify:track:2wqs8x06yNZCTrLiqQRoLu,Bones,MS MR,6
30,spotify:track:0LtOwyZoSNZKJWHqjzADpW,Feels Like We Only Go Backwards,Tame Impala,2
31,spotify:track:5cIWkWH6xVdEllQ9ksuu2E,Sun,Two Door Cinema Club,2
